Gene	K562 CS	K562 adjusted p-value
SYNDIG1L	-1.129	0.640275479
GANAB	-1.129	0.027405096
DMRTC2	-1.129	0.149284021
MED31	-1.128	0.433999928
LIN54	-1.127	0.709411705
DBNL	-1.127	0.370783684
SRP68	-1.127	0.033442646
MRPS7	-1.126	0.047554215
MADD	-1.126	0.01400443
VPS37D	-1.126	0.520472329
SRM	-1.126	0.061774206
SHOX2	-1.125	0.904402034
NCR3	-1.125	0.440521187
GAR1	-1.125	0.641894791
NBPF4	-1.125	0.801450814
ERLEC1	-1.125	0.915973648
PNPLA7	-1.124	0.47541103
SPATA31A5	-1.124	0.566177798
C9orf117	-1.123	0.542187103
TMEM167A	-1.123	0.262692461
PCLO	-1.123	0.685590591
SYNPO2L	-1.122	0.008096759
VGLL3	-1.122	0.762943229
DXO	-1.122	0.599298431
ATP13A1	-1.122	0.162301677
PA2G4	-1.122	0.08208605
FHOD3	-1.122	0.034540378
NELFCD	-1.122	0.201231574
COX4I2	-1.121	0.038569215
SALL2	-1.121	0.816906979
NEU1	-1.121	0.498671742
PAQR8	-1.121	0.345789247
DYRK1B	-1.120	0.257932064
FADS1	-1.120	0.078526823
ALDH1B1	-1.120	0.056421343
SLC25A1	-1.119	0.094985063
GNAI3	-1.119	0.076367552
MYL6B	-1.119	0.096584483
USF2	-1.119	0.078289453
SLC6A9	-1.119	0.33234778
COX6C	-1.118	0.493712294
NAA35	-1.117	0.310355597
SLC35A2	-1.117	0.566177798
ATP2C2	-1.117	0.00304535
ACAD8	-1.117	0.841056828
SLC35E3	-1.116	0.926762361
ASPSCR1	-1.116	0.259585022
LOC81691	-1.115	0.500672097
PARP3	-1.115	0.166569152
KMT2C	-1.115	0.744671926
PSMD9	-1.115	0.489652454
NOTCH4	-1.115	0.204197191
USP49	-1.115	0.173658027
KIRREL2	-1.115	0.393651862
EML3	-1.115	0.186143156
GRAP	-1.114	0.098610209
SLC30A2	-1.114	0.146069075
HDAC11	-1.114	0.706075997
VEZT	-1.114	0.563508919
PSD4	-1.114	0.059678133
PEX10	-1.113	0.098478842
CHI3L2	-1.112	0.025551235
DGCR6	-1.112	0.320360028
PABPC1	-1.112	0.042628483
ESPNL	-1.112	0.163735357
BID	-1.112	0.039203823
DISP2	-1.111	0.065637696
NUTM2A	-1.111	0.219322164
PKD1	-1.111	0.440847093
ADRA1D	-1.110	0.365799842
IFNLR1	-1.109	0.185374041
ZNF710	-1.108	0.809962525
TRIM43	-1.107	0.29264431
AKR1A1	-1.107	0.464237069
ATP6V1H	-1.107	0.037487398
PLBD2	-1.107	0.805419417
NTF4	-1.106	0.789436832
PCOLCE	-1.106	0.271247308
B4GALNT4	-1.106	0.507088708
MTMR3	-1.106	0.186264271
TAF1D	-1.106	0.113539425
NEUROD1	-1.106	0.889220674
ESPN	-1.105	0.226611678
RAB3GAP1	-1.105	0.3525236
TGS1	-1.105	0.090944334
SP3	-1.105	0.022241754
TRIM54	-1.104	0.235619714
IL27	-1.104	0.465176266
FAM156A	-1.103	0.20938598
FAM156B	-1.103	0.20938598
LMOD2	-1.103	0.508744015
NBAS	-1.103	0.013625723
GOLIM4	-1.102	0.662446453
PPIL4	-1.102	0.785578767
ACTG1	-1.102	0.22770702
ITPKA	-1.102	0.974521668
MAD2L1BP	-1.102	0.12077717
PLGLB1	-1.101	0.078659864
PLGLB2	-1.101	0.078659864
KCNQ4	-1.101	0.018797858
PDE6A	-1.101	0.876333096
HIST1H2BK	-1.101	0.52232018
BDP1	-1.101	0.020569773
COL28A1	-1.101	0.799467518
MAD2L2	-1.100	0.030322772
PPP1R13L	-1.100	0.070030342
CDKN1A	-1.100	0.178938648
SYT12	-1.099	0.065094524
SLC4A3	-1.099	0.899295612
TMCO4	-1.099	0.792657526
ALG1	-1.098	0.239153144
MUC22	-1.098	0.830564415
CPEB3	-1.098	0.917141469
ORC2	-1.098	0.254093734
SLC4A2	-1.097	0.439900512
PLEC	-1.097	0.790822991
PRPF3	-1.097	0.006733854
CDCA7	-1.096	0.069281577
DDTL	-1.096	0.727901927
PGLS	-1.096	0.067190249
PRMT7	-1.095	0.911973473
C19orf52	-1.095	0.384600187
TBKBP1	-1.095	0.074509294
HEATR3	-1.095	0.029504862
GEMIN6	-1.095	0.085819936
C1orf106	-1.095	0.440589349
TMEM130	-1.094	0.932161217
NCAPH2	-1.094	0.584501957
ASUN	-1.094	0.009786158
SCAF4	-1.094	0.165857832
TM7SF2	-1.094	0.124523893
ADCK4	-1.094	0.304663704
FAM136A	-1.093	0.250719773
GGT1	-1.093	0.540707469
NINL	-1.093	0.936904933
TERF1	-1.093	0.487466349
HMHA1	-1.093	0.230246812
MAST3	-1.093	0.135667624
E2F8	-1.092	0.305469128
MSTO1	-1.091	0.251603207
UFC1	-1.091	0.037577998
TBC1D2	-1.091	0.046106646
COX7B	-1.091	0.397318935
CDC42BPG	-1.090	0.009652412
LMBR1L	-1.090	0.284784067
ANKRD20A2	-1.089	0.311231538
COX16	-1.087	0.908680172
MAD2L1	-1.087	0.231230207
FAM221B	-1.087	0.453500183
HNF1A	-1.087	0.547319184
SPHK2	-1.087	0.064273542
ZNF652	-1.087	0.092739268
FJX1	-1.086	0.093813234
SNAPC2	-1.086	0.080400584
BORA	-1.086	0.015139169
SCFD1	-1.086	0.048552342
CLEC17A	-1.086	0.069331791
BMP1	-1.085	0.717942289
PYGM	-1.085	0.026847217
MVB12A	-1.085	0.144417535
RGL3	-1.083	0.12484362
AP1G2	-1.083	0.492058263
ANXA8	-1.083	0.39755454
SENP6	-1.083	0.098610209
COQ10A	-1.083	0.289577416
GMIP	-1.083	0.358225611
TOM1L2	-1.082	0.508473837
MFSD12	-1.082	0.712198831
SPACA3	-1.081	0.673688708
STAT5B	-1.081	0.065620685
CHAF1B	-1.081	0.236126665
PYROXD2	-1.081	0.671779467
FAM109B	-1.080	0.611973464
MAP1LC3B	-1.080	0.129634491
CCDC28B	-1.079	0.69265184
UNC13A	-1.079	0.446804917
EVPL	-1.078	0.434615374
ANKRD13C	-1.078	0.698818695
PSAP	-1.078	0.042210657
GTF2F1	-1.078	0.140558297
GPR89A	-1.077	0.786873733
GRIK4	-1.077	0.735754361
RNASEH2A	-1.077	0.100775226
PRRC2C	-1.076	0.426213847
GPI	-1.076	0.006353707
SHC1	-1.076	0.402911315
CMTM5	-1.075	0.225019643
MAPK15	-1.075	0.834289596
HAP1	-1.075	0.099084187
SHMT1	-1.074	0.128257724
SPIRE2	-1.074	0.1460553
CCDC13	-1.074	0.515795959
BCL2L2	-1.074	0.489954283
LSG1	-1.074	0.224632995
SLC38A10	-1.074	0.045452185
CALD1	-1.073	0.552070392
DPH1	-1.073	0.014554176
ACTR6	-1.072	0.029035922
SNTB1	-1.072	0.814596433
SBSN	-1.072	0.708376296
KCTD10	-1.071	0.295924634
GLIS1	-1.071	0.889564005
AMER3	-1.071	0.360983236
LINGO4	-1.071	0.919928406
ATXN7L2	-1.070	0.175922138
PLEKHH1	-1.070	0.360063401
KPNA6	-1.070	0.020762808
CRB2	-1.070	0.170192544
KIAA0947	-1.070	0.360983236
SPNS2	-1.069	0.869629656
PDE3A	-1.069	0.720280618
GOLGA6L10	-1.069	0.58498794
ENO1	-1.068	0.040652662
IFITM3	-1.068	0.207766196
KIAA1217	-1.068	0.779351729
PRPF39	-1.067	0.076635249
CEBPE	-1.067	0.727512157
FAM212B	-1.067	0.010446622
NDUFC2	-1.067	0.540707469
THAP4	-1.067	0.251766149
CPNE5	-1.066	0.244853491
PPIAL4A	-1.066	0.374602836
PPIAL4B	-1.066	0.374602836
PPIAL4C	-1.066	0.374602836
EFTUD1	-1.066	0.038107866
PRAMEF13	-1.066	0.583818721
ATP5J2	-1.065	0.375386169
UNC80	-1.065	0.620552305
TMEM147	-1.065	0.084321592
FGFR1OP	-1.065	0.851066125
SLC4A7	-1.064	0.067915381
KIF14	-1.064	0.437449335
IGSF23	-1.064	0.534891068
ZNF236	-1.063	0.176755509
MARCH4	-1.063	0.809726183
GRAMD1A	-1.063	0.546256631
LRCH1	-1.063	0.559109752
NAT8	-1.063	0.810734486
SIGLEC9	-1.062	0.851912089
ARID1A	-1.062	0.281351815
TXNRD1	-1.061	0.054673808
CEPT1	-1.061	0.367591975
OBSCN	-1.061	0.664822897
KRTAP2-4	-1.061	0.861147182
KIAA1324	-1.060	0.118701255
SYDE1	-1.060	0.20396806
MBD3L5	-1.060	0.045981116
CPSF4	-1.059	0.47960377
KIAA1143	-1.059	0.078289453
MICALL2	-1.059	0.545700045
SYT15	-1.059	0.008068267
C7orf26	-1.059	0.017608217
ATMIN	-1.058	0.305774847
GRAPL	-1.057	0.067380933
TAF15	-1.057	0.785578767
TAP1	-1.057	0.941038668
SMG6	-1.056	0.035538791
PTPRH	-1.055	0.048685567
RUNX1	-1.055	0.113569673
NCOA5	-1.055	0.641243735
OMP	-1.054	0.262686632
TMEM223	-1.054	0.050656958
TAF5L	-1.054	0.429557492
HCRTR1	-1.054	0.180718521
FBLN2	-1.054	0.086940775
DPP3	-1.053	0.305097796
RBM42	-1.053	0.075067611
SCARB1	-1.052	0.47782247
MAT1A	-1.052	0.118484607
HMGB3	-1.052	0.522877052
SNRPN	-1.052	0.535417574
COL4A2	-1.052	0.513262076
MYBPC1	-1.052	0.143383907
LTA	-1.051	0.898683342
ATP5C1	-1.051	0.209091363
KRTAP10-3	-1.050	0.969985956
LRRC18	-1.050	0.085114894
GGT6	-1.050	0.261024354
DDT	-1.049	0.720233481
NDUFA13	-1.049	0.032525649
GRAMD4	-1.048	0.954678284
WDR48	-1.047	0.327675326
CDK18	-1.047	0.78789231
KRT6B	-1.047	0.634479691
GPR114	-1.047	0.242474486
KLF16	-1.047	0.331683269
SLC22A14	-1.046	0.628105735
AKAP6	-1.045	0.905245563
EBF4	-1.045	0.972884409
PSKH2	-1.044	0.689458317
GPR89B	-1.044	0.941038668
MTBP	-1.043	0.209466718
C16orf80	-1.043	0.171016952
HCAR1	-1.043	0.235619714
CDK13	-1.042	0.735235893
VWCE	-1.042	0.731552321
SYT17	-1.041	0.457407265
CIDEC	-1.040	0.035900027
PCED1B	-1.040	0.12194459
BTF3L4	-1.040	0.009210731
RHOT2	-1.040	0.152541748
EHD3	-1.040	0.995666069
SUDS3	-1.039	0.129980134
SLC26A10	-1.039	0.009101079
CD5	-1.039	0.270828988
FLNC	-1.037	0.142753156
SLC22A25	-1.037	0.505347489
SYNCRIP	-1.037	0.307664553
TSPAN31	-1.037	0.012880909
UBE3D	-1.037	0.069331791
TMEM145	-1.037	0.37309081
IL11RA	-1.037	0.245726506
MEF2B	-1.037	0.11926626
MEF2BNB-MEF2B	-1.037	0.11926626
SMC6	-1.037	0.079271047
APLP1	-1.036	0.099084187
TCP11	-1.036	0.651509809
MBD6	-1.036	0.263232975
STAT6	-1.036	0.123404435
UNCX	-1.036	0.747931626
RAPSN	-1.036	0.785159787
C4BPB	-1.036	0.29018451
DLGAP5	-1.036	0.033472223
SNAPC3	-1.035	0.162205564
CC2D1B	-1.035	0.090944334
FAM219A	-1.035	0.362674925
PRF1	-1.035	0.673956941
EZR	-1.034	0.600730024
CEP170B	-1.034	0.904310323
CFC1	-1.034	0.124523893
CTDSP2	-1.034	0.045857435
RYR1	-1.034	0.093556675
UNC79	-1.034	0.986924977
COPS2	-1.034	0.067454755
SHE	-1.034	0.043114864
CHTF8	-1.033	0.011260245
CPEB2	-1.033	0.258871572
ZNF322	-1.033	0.132946996
PDDC1	-1.033	0.540707469
FCRLB	-1.033	0.693981981
ZNF594	-1.032	0.986332197
HIST1H2AD	-1.032	0.375138427
EIF3J	-1.032	0.101555915
COL9A3	-1.032	0.26650782
MED12L	-1.031	0.364182454
ZBTB12	-1.031	0.227329676
HAO2	-1.031	0.084186137
ANAPC7	-1.030	0.025084081
ARHGAP9	-1.030	0.631666047
PHRF1	-1.029	0.490625167
OS9	-1.029	0.634284902
TFB2M	-1.029	0.221362871
CECR6	-1.029	0.515795959
TMEM199	-1.029	0.217080294
C20orf27	-1.028	0.138815681
SLC5A5	-1.028	0.348245292
ZMYM3	-1.028	0.046132909
FOXG1	-1.027	0.164930206
ZNF608	-1.027	0.917314435
HVCN1	-1.027	0.008052603
TOP1MT	-1.027	0.176273123
NUDT17	-1.025	0.119766287
SLC39A4	-1.025	0.542264282
SOS2	-1.024	0.818324828
CCNF	-1.024	0.519732675
LAG3	-1.024	0.391477543
DNAJA1	-1.023	0.149173695
SYT9	-1.023	0.846429904
FAM213B	-1.023	0.519732675
ANKRD20A3	-1.023	0.311231538
FAM86A	-1.023	0.483386811
ZFPL1	-1.023	0.028190496
SGCA	-1.023	0.451319195
TXNL4B	-1.023	0.613000546
ADCY6	-1.023	0.327213274
TTC34	-1.023	0.295924634
ST3GAL2	-1.023	0.160744127
EPN1	-1.023	0.458588201
ZDHHC1	-1.023	0.597158547
OSBP2	-1.022	0.93264554
POMP	-1.021	0.07165965
CDK12	-1.020	0.540707469
C9orf131	-1.020	0.756697383
NPEPPS	-1.019	0.016133628
FTL	-1.018	0.656403992
ST13	-1.018	0.792657526
FLII	-1.017	0.009652412
APOBEC3G	-1.017	0.426125716
RPN2	-1.017	0.388568627
SLC45A3	-1.017	0.412310825
EMC8	-1.016	0.003372495
AKAP17A	-1.016	0.938184618
THOC1	-1.016	0.106891357
CLEC3B	-1.016	0.137773756
KRT35	-1.016	0.615802119
C5orf30	-1.015	0.336266443
KCNK4	-1.015	0.039203823
SHB	-1.015	0.789436832
SIRT2	-1.014	0.340259986
VMAC	-1.014	0.873997867
RPAP3	-1.014	0.067010401
CARS2	-1.013	0.048198553
CCRN4L	-1.013	0.609727077
GDF2	-1.009	0.900085118
NXPH3	-1.009	0.755251988
CHRD	-1.009	0.732072166
KDM2A	-1.009	0.016821707
KCNQ5	-1.008	0.925398231
CDRT15L2	-1.008	0.291785912
CARNS1	-1.008	0.872755753
CCDC40	-1.007	0.307664553
IFNGR2	-1.007	0.815912717
NELFA	-1.007	0.53877517
SLAMF1	-1.007	0.481592453
ATP6V1G1	-1.007	0.181136371
LCE1B	-1.006	0.503367581
RFFL	-1.006	0.604390243
ZNF219	-1.006	0.581501321
SETD5	-1.006	0.285684284
CABLES1	-1.005	0.735754361
PRG3	-1.005	0.235247216
ZDHHC12	-1.005	0.708795259
ARL17B	-1.004	0.274422169
PRSS53	-1.004	0.172503336
ZBTB48	-1.004	0.167300617
ADAMTSL2	-1.004	0.999690568
GLP2R	-1.003	0.845178604
ATP6V1G2	-1.002	0.246553231
MOSPD3	-1.002	0.304918941
MRPL54	-1.002	0.320522385
HDAC6	-1.001	0.500452394
HRC	-1.001	0.697626094
CATSPER4	-1.001	0.628422789
PPP1CC	-1.000	0.085466799
LRRC43	-1.000	0.175922138
C17orf53	-1.000	0.124523893
EXOC3L2	-1.000	0.45084395
RPIA	-1.000	0.349242399
KCNA10	-0.999	0.220401652
SGIP1	-0.999	0.551552693
TAC3	-0.998	0.613773731
CCDC85A	-0.998	0.981700755
CREG2	-0.998	0.100936439
GHRL	-0.998	0.328838648
FAM214B	-0.997	0.211155448
TSG101	-0.996	0.054500366
CDK5RAP1	-0.996	0.743694459
BPIFB3	-0.996	0.758349563
ARL8B	-0.996	0.12968629
BLOC1S1	-0.995	0.042415308
ITGA7	-0.995	0.069107309
DUS1L	-0.995	0.584912659
INO80E	-0.994	0.897578164
CHAMP1	-0.994	0.32845858
FOXM1	-0.993	0.293659232
COL7A1	-0.993	0.346517544
SMARCD3	-0.992	0.6085233
SKA3	-0.992	0.062485892
LIAS	-0.992	0.20396806
MTHFD2	-0.991	0.151302434
NEK2	-0.990	0.21958808
PDZD7	-0.990	0.954310345
HUNK	-0.990	0.671236874
HMGA1	-0.990	0.342898916
MOGS	-0.990	0.133109053
LCE1A	-0.990	0.404290898
PVRL4	-0.989	0.758657462
ZIC2	-0.989	0.992112718
MOB4	-0.989	0.012385782
TMEM132B	-0.989	0.485841319
ARHGEF16	-0.989	0.553387422
DLG5	-0.988	0.009975544
ZCCHC3	-0.988	0.394026309
ITIH3	-0.988	0.303782467
SLC6A20	-0.988	0.239498668
ANO8	-0.988	0.298835664
PGLYRP1	-0.988	0.350608686
STXBP1	-0.987	0.289238505
GAL	-0.987	0.765288718
ZNF541	-0.987	0.496860137
FBXO21	-0.987	0.166569152
TCTN1	-0.986	0.043438671
EMILIN2	-0.986	0.304918941
POLH	-0.986	0.22723121
LRRN4CL	-0.985	0.607790053
ITGA3	-0.985	0.871216156
KCNA6	-0.985	0.873997867
MTF1	-0.985	0.226201897
AFAP1	-0.985	0.8145249
NEMF	-0.985	0.086032172
CACNA1I	-0.984	0.214578292
RNF8	-0.984	0.040652662
KCTD17	-0.984	0.532247285
PLCD1	-0.984	0.171227345
NXNL1	-0.984	0.632707783
FKBP10	-0.984	0.256533398
A1CF	-0.984	0.100374265
SAMD4B	-0.984	0.621144185
TMTC2	-0.983	0.96869682
PIGQ	-0.983	0.931774569
ILDR2	-0.983	0.242066787
CAPG	-0.983	0.081702739
IBA57	-0.983	0.015139169
EEPD1	-0.982	0.678687205
FBXL16	-0.982	0.841232208
USP36	-0.982	0.289861194
MED23	-0.982	0.043999954
POTEM	-0.981	0.348788214
ANXA8L1	-0.981	0.534891068
PRKG2	-0.981	0.934738248
GABPA	-0.981	0.319947784
DNTTIP1	-0.980	0.246553231
C1orf177	-0.980	0.231088148
SLC25A45	-0.980	0.018058301
LRP5	-0.979	0.181498807
NCOR1	-0.979	0.64071095
RCSD1	-0.979	0.945533986
DDX28	-0.979	0.196332628
PPM1E	-0.978	0.791014276
HAUS3	-0.978	0.047371797
ZSWIM8	-0.978	0.017524205
MRGPRG	-0.978	0.644346185
KDM4A	-0.978	0.203169987
LAMTOR2	-0.977	0.048694787
SPATA33	-0.977	0.9125958
POU2F1	-0.977	0.938771433
SLC11A2	-0.977	0.298487014
PSIP1	-0.976	0.079323124
TAF4	-0.976	0.081790063
IFITM5	-0.976	0.073375819
GRB7	-0.976	0.916442432
FBLN7	-0.976	0.368151135
MAGEA8	-0.975	0.872975273
TCEB3CL	-0.974	0.306703012
DCP2	-0.973	0.293036572
JMY	-0.973	0.187439906
PDCD2L	-0.972	0.067454755
NBEAL2	-0.972	0.118027357
MRPS28	-0.972	0.162769456
CCNL2	-0.972	0.069894241
SFSWAP	-0.971	0.698818695
FBN1	-0.971	0.91651935
IKBKB	-0.971	0.950646793
WDR4	-0.971	0.159404613
ZNF576	-0.971	0.882645503
ADCY5	-0.970	0.273593655
SMAD9	-0.970	0.919467339
UCN	-0.969	0.850008555
SH3BP5L	-0.969	0.280122508
NUTM2D	-0.969	0.634284902
LSP1	-0.968	0.268122277
CCDC37	-0.968	0.902602695
GPNMB	-0.967	0.524398658
HSPG2	-0.967	0.076374245
HIPK1	-0.967	0.331683269
CIB2	-0.967	0.797754093
ZNF445	-0.967	0.406399423
MZF1	-0.966	0.074150887
CCNK	-0.966	0.261101735
AMICA1	-0.965	0.605765506
CCSER2	-0.965	0.583476299
LETM1	-0.965	0.062469179
KIAA0020	-0.964	0.160744127
TFG	-0.964	0.06519
TMEM259	-0.964	0.864153513
TENC1	-0.963	0.427990006
SV2A	-0.963	0.453464222
GJB5	-0.962	0.736613162
CCDC64B	-0.962	0.351935424
ZNF497	-0.962	0.187871477
MPL	-0.962	0.017898884
PFKP	-0.962	0.321748384
STAC2	-0.961	0.643053085
SLC6A2	-0.961	0.850008555
FAM83E	-0.961	0.067915381
C17orf85	-0.960	0.938771433
PKN1	-0.960	0.573231971
FOXQ1	-0.960	0.977839508
PLEKHM1	-0.960	0.307164075
CNGB1	-0.960	0.938988279
CCDC137	-0.959	0.58241748
FBXO2	-0.959	0.17004578
MEA1	-0.959	0.250706545
DDRGK1	-0.959	0.086273174
DOT1L	-0.959	0.110730969
RIOK3	-0.959	0.732896711
ZFAT	-0.959	0.176013
CMYA5	-0.959	0.096990158
ATRN	-0.959	0.667772739
GNPTG	-0.958	0.682850483
NAF1	-0.958	0.278858678
SRP72	-0.958	0.166885701
NSMCE4A	-0.958	0.061774206
GSG2	-0.957	0.911973473
ZYX	-0.957	0.792670843
RAB11FIP1	-0.957	0.492628341
CRTC1	-0.956	0.533201089
ZSCAN22	-0.956	0.518813015
ZNF48	-0.956	0.626516421
INTS10	-0.956	0.200408775
AGMAT	-0.955	0.035371498
GPR84	-0.955	0.281351815
MTIF2	-0.955	0.046260726
TRIM15	-0.955	0.226398718
FOXA3	-0.955	0.027556947
TMEM134	-0.955	0.254299072
DNAJA2	-0.955	0.108561106
ERAL1	-0.954	0.073375819
GPRIN1	-0.954	0.777486541
BCL2L12	-0.954	0.507812425
MRPL19	-0.954	0.364537388
R3HDM2	-0.954	0.04501014
PRB4	-0.954	0.855782638
P2RX4	-0.954	0.240942744
CLPP	-0.953	0.006319251
EIF4E	-0.953	0.659012359
CD276	-0.953	0.493712294
MYD88	-0.953	0.605161421
BCAS2	-0.953	0.083768403
B3GNT4	-0.952	0.063471599
SENP1	-0.951	0.102776313
USPL1	-0.951	0.380603633
CDC25B	-0.951	0.501688856
PLA2G6	-0.951	0.87589315
FAIM2	-0.951	0.331683269
WDR90	-0.950	0.756579499
ATF7	-0.950	0.269401323
SLC27A5	-0.950	0.077360895
CACNA1D	-0.949	0.589556206
IMPDH1	-0.949	0.11585481
ITGB7	-0.949	0.472726429
KCTD11	-0.949	0.710511635
TTC5	-0.948	0.081337172
ACVR1	-0.948	0.625179256
GLTPD2	-0.948	0.931301296
TICAM1	-0.948	0.247950628
BUD13	-0.948	0.413421568
PRDX2	-0.948	0.020878387
GPR161	-0.948	0.226611678
TATDN2	-0.948	0.322268634
AGO2	-0.947	0.139594402
POLG2	-0.947	0.237638784
C19orf69	-0.947	0.871216156
SLC25A18	-0.947	0.795374167
PLAU	-0.947	0.026594381
MCL1	-0.947	0.024450511
PROKR2	-0.947	0.841538706
ZFYVE9	-0.946	0.871216156
VILL	-0.946	0.45946367
PKN3	-0.945	0.74123937
CENPH	-0.945	0.297411168
PCDHGA5	-0.945	0.853675448
CX3CL1	-0.945	0.184180995
ASF1B	-0.945	0.18138518
FAM21A	-0.945	0.345040824
CYP4B1	-0.944	0.503062443
AQP7	-0.944	0.060037187
AGPAT2	-0.944	0.687971444
MUC5B	-0.944	0.688919403
MT1H	-0.944	0.701729145
TAS1R3	-0.944	0.52232018
CDC25A	-0.943	0.142006499
VHL	-0.943	0.659454312
LAD1	-0.943	0.217361954
BRPF1	-0.943	0.14110633
LRWD1	-0.943	0.376404671
GON4L	-0.943	0.032597133
SCRN2	-0.943	0.752337903
ZBTB2	-0.943	0.038107866
BEST1	-0.943	0.440026711
SEMA6B	-0.942	0.294835598
SLC16A13	-0.942	0.835724447
PAQR6	-0.942	0.789436832
SLC5A1	-0.941	0.221751709
VANGL1	-0.941	0.088002683
RSPH4A	-0.941	0.852255887
ESRP2	-0.941	0.297294876
MAP6D1	-0.941	0.923532833
LIN9	-0.940	0.684957726
FGF8	-0.940	0.108426008
NPM1	-0.940	0.859376466
SEPHS1	-0.939	0.025416844
PKM	-0.939	0.02201135
EED	-0.939	0.265388285
SPOCD1	-0.939	0.514252794
NOSIP	-0.939	0.075133222
APEH	-0.938	0.934738248
RAVER1	-0.937	0.25358703
HIST1H3G	-0.937	0.719637167
EGFL8	-0.937	0.155645068
SLC35E4	-0.936	0.457846507
MCCD1	-0.935	0.070215719
SLC9A1	-0.934	0.336620086
PNMA6C	-0.934	0.871475752
TNKS	-0.933	0.599537327
CCDC102A	-0.933	0.447178242
CSNK1D	-0.932	0.071688737
C12orf10	-0.932	0.11926626
GIGYF2	-0.932	0.935313639
C7orf71	-0.932	0.658991461
IGFBP6	-0.932	0.913863542
ZNF317	-0.932	0.259585022
LHFP	-0.931	0.308778055
SPARC	-0.931	0.533201089
NOP14	-0.930	0.138699717
CENPC	-0.930	0.064028196
GPATCH3	-0.930	0.121893588
EBI3	-0.929	0.468361469
AHNAK2	-0.929	0.707077366
CALM3	-0.928	0.314115275
RDH10	-0.928	0.378986133
ZNF337	-0.928	0.754106514
STRN4	-0.927	0.658991461
FIGN	-0.927	0.739592664
SYPL2	-0.927	0.393652427
SATB2	-0.926	0.727122419
F5	-0.926	0.451319195
SWI5	-0.926	0.22723121
PPP2R5D	-0.926	0.525435242
PPP2R4	-0.926	0.117958564
NKAPL	-0.925	0.831972521
SVOPL	-0.925	0.661482083
TSC2	-0.924	0.177717101
OPTN	-0.924	0.628295753
OGDHL	-0.924	0.11170697
CALHM2	-0.924	0.929300883
PACS1	-0.924	0.166720176
ADAM33	-0.923	0.649085797
GNB3	-0.923	0.626877813
TP53TG3D	-0.923	0.954996586
SLC25A26	-0.923	0.180453329
PDCL3	-0.923	0.284133546
ASIC1	-0.922	0.522534438
HNRNPA1	-0.922	0.631727114
IL21R	-0.922	0.789436832
RXFP4	-0.922	0.890634944
C6orf141	-0.921	0.409931001
CEACAM19	-0.921	0.159404613
NAV1	-0.921	0.106036399
TLN2	-0.921	0.967573183
ARRDC5	-0.921	0.671483001
LCE5A	-0.921	0.610599034
PEX16	-0.921	0.036218969
CMPK1	-0.921	0.084449311
NEU3	-0.921	0.190021104
ADRA2B	-0.920	0.628295753
ARMC9	-0.920	0.847265386
ZMYND8	-0.920	0.486191535
ASAH2B	-0.920	0.018921571
LRRIQ4	-0.919	0.898531283
CHST8	-0.919	0.465176266
HSPBP1	-0.919	0.812634867
MAML2	-0.919	0.411266526
SPDEF	-0.919	0.561975942
KRTAP10-4	-0.919	0.476901198
CCDC87	-0.918	0.259240924
MED25	-0.918	0.1369309
RPS24	-0.918	0.20938598
SLC26A11	-0.918	0.491398962
SKI	-0.918	0.178828624
ISYNA1	-0.917	0.1132479
MRGPRD	-0.917	0.90854978
PRNP	-0.917	0.337868571
MYEOV	-0.917	0.658698883
SPDYE3	-0.917	0.407923586
CCDC19	-0.917	0.797754093
NUCKS1	-0.917	0.81543986
NKX6-1	-0.916	0.999690568
RAB7A	-0.916	0.316986772
XKR3	-0.916	0.318490584
CHRM1	-0.916	0.23788931
DNAH9	-0.916	0.091439092
HOXC8	-0.916	0.179817162
C15orf39	-0.915	0.876791086
PAQR7	-0.915	0.776948741
WNT2B	-0.915	0.193973979
SGSM2	-0.915	0.090247618
MAF1	-0.915	0.327160531
LRIT2	-0.914	0.521972022
TMUB1	-0.914	0.92352444
CTNND1	-0.914	0.090262212
PIK3R4	-0.914	0.429924694
CDK3	-0.913	0.540882772
STAC	-0.913	0.3525236
SUPT4H1	-0.913	0.541480231
LIG3	-0.913	0.187390887
ARPC4-TTLL3	-0.913	0.142367958
C20orf194	-0.913	0.791236938
DDX42	-0.912	0.078526823
ST20	-0.912	0.689458317
KRTAP10-9	-0.912	0.70821888
MRPS31	-0.912	0.033932599
PNMA3	-0.912	0.101555915
FAM153B	-0.912	0.829422593
SPATA21	-0.912	0.924223647
MEGF8	-0.911	0.292953774
PPIAL4D	-0.911	0.279293198
PAK2	-0.911	0.491398962
SMG9	-0.911	0.078289453
HLA-F	-0.911	0.374602836
ARID3B	-0.910	0.849755738
HIST1H4I	-0.910	0.190021104
CNTRL	-0.910	0.898683342
INS-IGF2	-0.910	0.984274955
CELF3	-0.910	0.708376296
RALBP1	-0.909	0.391087238
CGB2	-0.909	0.580967532
VAT1L	-0.909	0.349373066
E2F3	-0.909	0.922494657
LCK	-0.909	0.541480231
PCNXL2	-0.908	0.804844813
UNC5CL	-0.908	0.339188961
B3GALT4	-0.908	0.365799842
SYN3	-0.908	0.305097796
MMRN2	-0.907	0.435223825
RSL1D1	-0.907	0.180093017
ELP2	-0.907	0.094011945
ADAMTS8	-0.907	0.897469311
RBM27	-0.907	0.475931173
ANK2	-0.907	0.822127997
GPIHBP1	-0.906	0.306081953
