site	c	s	e	str	Ess	round
	chr1	72590000	72595000	chr1-72590000	untested	untested
	chr1	72595000	72600000	chr1-72595000	untested	untested
	chr1	72600000	72605000	chr1-72600000	untested	untested
	chr1	72605000	72610000	chr1-72605000	untested	untested
	chr1	72635000	72640000	chr1-72635000	untested	untested
	chr1	72670000	72675000	chr1-72670000	untested	untested
	chr1	72675000	72680000	chr1-72675000	untested	untested
	chr1	72680000	72685000	chr1-72680000	untested	untested
	chr1	72700000	72705000	chr1-72700000	untested	untested
	chr1	72705000	72710000	chr1-72705000	untested	untested
	chr1	72745000	72750000	chr1-72745000	untested	untested
	chr1	72815000	72820000	chr1-72815000	untested	untested
	chr1	72865000	72870000	chr1-72865000	untested	untested
	chr1	72875000	72880000	chr1-72875000	untested	untested
	chr1	72895000	72900000	chr1-72895000	untested	untested
	chr1	72920000	72925000	chr1-72920000	untested	untested
	chr1	72930000	72935000	chr1-72930000	untested	untested
	chr1	72955000	72960000	chr1-72955000	untested	untested
	chr1	72985000	72990000	chr1-72985000	untested	untested
	chr1	72995000	73000000	chr1-72995000	untested	untested
	chr1	73015000	73020000	chr1-73015000	untested	untested
	chr1	73020000	73025000	chr1-73020000	untested	untested
	chr1	73060000	73065000	chr1-73060000	untested	untested
	chr1	73065000	73070000	chr1-73065000	untested	untested
	chr1	73075000	73080000	chr1-73075000	untested	untested
	chr1	73105000	73110000	chr1-73105000	untested	untested
	chr1	73155000	73160000	chr1-73155000	untested	untested
	chr1	73210000	73215000	chr1-73210000	untested	untested
	chr1	73250000	73255000	chr1-73250000	untested	untested
	chr1	73300000	73305000	chr1-73300000	untested	untested
	chr1	73315000	73320000	chr1-73315000	untested	untested
	chr1	73320000	73325000	chr1-73320000	untested	untested
	chr1	73335000	73340000	chr1-73335000	untested	untested
	chr1	73385000	73390000	chr1-73385000	untested	untested
	chr1	73435000	73440000	chr1-73435000	untested	untested
	chr1	73500000	73505000	chr1-73500000	untested	untested
	chr1	73520000	73525000	chr1-73520000	untested	untested
	chr1	73535000	73540000	chr1-73535000	untested	untested
	chr1	73555000	73560000	chr1-73555000	untested	untested
	chr1	73560000	73565000	chr1-73560000	untested	untested
	chr1	73595000	73600000	chr1-73595000	untested	untested
	chr1	73610000	73615000	chr1-73610000	untested	untested
	chr1	73640000	73645000	chr1-73640000	untested	untested
	chr1	73660000	73665000	chr1-73660000	untested	untested
	chr1	73665000	73670000	chr1-73665000	untested	untested
	chr1	73690000	73695000	chr1-73690000	untested	untested
	chr1	73695000	73700000	chr1-73695000	untested	untested
	chr1	73700000	73705000	chr1-73700000	untested	untested
	chr1	73715000	73720000	chr1-73715000	untested	untested
	chr1	73740000	73745000	chr1-73740000	untested	untested
	chr1	73780000	73785000	chr1-73780000	untested	untested
	chr1	73800000	73805000	chr1-73800000	untested	untested
	chr1	73825000	73830000	chr1-73825000	untested	untested
	chr1	73860000	73865000	chr1-73860000	untested	untested
	chr1	73880000	73885000	chr1-73880000	untested	untested
	chr1	73885000	73890000	chr1-73885000	untested	untested
	chr1	73890000	73895000	chr1-73890000	untested	untested
	chr1	73900000	73905000	chr1-73900000	untested	untested
	chr1	73905000	73910000	chr1-73905000	untested	untested
	chr1	73935000	73940000	chr1-73935000	untested	untested
	chr1	73945000	73950000	chr1-73945000	untested	untested
	chr1	73960000	73965000	chr1-73960000	untested	untested
	chr1	73970000	73975000	chr1-73970000	untested	untested
	chr1	74005000	74010000	chr1-74005000	untested	untested
	chr1	74010000	74015000	chr1-74010000	untested	untested
	chr1	74025000	74030000	chr1-74025000	untested	untested
	chr1	74075000	74080000	chr1-74075000	untested	untested
	chr1	74135000	74140000	chr1-74135000	untested	untested
	chr1	74170000	74175000	chr1-74170000	untested	untested
	chr1	74200000	74205000	chr1-74200000	untested	untested
	chr1	74240000	74245000	chr1-74240000	untested	untested
	chr1	74465000	74470000	chr1-74465000	untested	untested
	chr1	74475000	74480000	chr1-74475000	untested	untested
	chr1	74490000	74495000	chr1-74490000	untested	untested
	chr1	74495000	74500000	chr1-74495000	untested	untested
	chr1	74545000	74550000	chr1-74545000	untested	untested
	chr1	74550000	74555000	chr1-74550000	untested	untested
	chr1	74555000	74560000	chr1-74555000	untested	untested
	chr1	74595000	74600000	chr1-74595000	untested	untested
	chr1	74600000	74605000	chr1-74600000	untested	untested
	chr1	74610000	74615000	chr1-74610000	untested	untested
	chr1	74655000	74660000	chr1-74655000	untested	untested
	chr1	74675000	74680000	chr1-74675000	untested	untested
	chr1	74695000	74700000	chr1-74695000	untested	untested
	chr1	74740000	74745000	chr1-74740000	untested	untested
	chr1	74755000	74760000	chr1-74755000	untested	untested
	chr1	74785000	74790000	chr1-74785000	untested	untested
	chr1	74795000	74800000	chr1-74795000	untested	untested
	chr1	74800000	74805000	chr1-74800000	untested	untested
	chr1	74825000	74830000	chr1-74825000	untested	untested
	chr1	70150000	70155000	chr1-70150000	untested	untested
	chr1	70300000	70305000	chr1-70300000	untested	untested
	chr1	71805000	71810000	chr1-71805000	untested	untested
	chr1	71830000	71835000	chr1-71830000	untested	untested
	chr1	71870000	71875000	chr1-71870000	untested	untested
	chr1	71950000	71955000	chr1-71950000	untested	untested
	chr1	72060000	72065000	chr1-72060000	untested	untested
	chr1	72075000	72080000	chr1-72075000	untested	untested
	chr1	72155000	72160000	chr1-72155000	untested	untested
	chr1	72165000	72170000	chr1-72165000	untested	untested
	chr1	72425000	72430000	chr1-72425000	untested	untested
	chr1	72445000	72450000	chr1-72445000	untested	untested
	chr1	72625000	72630000	chr1-72625000	untested	untested
	chr1	72695000	72700000	chr1-72695000	untested	untested
	chr1	72820000	72825000	chr1-72820000	untested	untested
	chr1	72910000	72915000	chr1-72910000	untested	untested
	chr1	72915000	72920000	chr1-72915000	untested	untested
	chr1	72935000	72940000	chr1-72935000	untested	untested
	chr1	72960000	72965000	chr1-72960000	untested	untested
	chr1	72975000	72980000	chr1-72975000	untested	untested
	chr1	73050000	73055000	chr1-73050000	untested	untested
	chr1	73140000	73145000	chr1-73140000	untested	untested
	chr1	73200000	73205000	chr1-73200000	untested	untested
	chr1	73220000	73225000	chr1-73220000	untested	untested
	chr1	73285000	73290000	chr1-73285000	untested	untested
	chr1	73340000	73345000	chr1-73340000	untested	untested
	chr1	73450000	73455000	chr1-73450000	untested	untested
	chr1	73505000	73510000	chr1-73505000	untested	untested
	chr1	73725000	73730000	chr1-73725000	untested	untested
	chr1	74140000	74145000	chr1-74140000	untested	untested
	chr1	74230000	74235000	chr1-74230000	untested	untested
	chr1	74370000	74375000	chr1-74370000	untested	untested
	chr1	74450000	74455000	chr1-74450000	untested	untested
	chr1	74530000	74535000	chr1-74530000	untested	untested
	chr1	74820000	74825000	chr1-74820000	untested	untested
	chr1	70180000	70185000	chr1-70180000	untested	untested
	chr1	70260000	70265000	chr1-70260000	untested	untested
	chr1	72040000	72045000	chr1-72040000	untested	untested
	chr1	72195000	72200000	chr1-72195000	untested	untested
	chr1	72450000	72455000	chr1-72450000	untested	untested
	chr1	72515000	72520000	chr1-72515000	untested	untested
	chr1	72660000	72665000	chr1-72660000	untested	untested
	chr1	73045000	73050000	chr1-73045000	untested	untested
	chr1	73205000	73210000	chr1-73205000	untested	untested
	chr1	73485000	73490000	chr1-73485000	untested	untested
	chr1	73625000	73630000	chr1-73625000	untested	untested
	chr1	73680000	73685000	chr1-73680000	untested	untested
	chr1	73980000	73985000	chr1-73980000	untested	untested
	chr1	72020000	72025000	chr1-72020000	untested	untested
	chr1	73930000	73935000	chr1-73930000	untested	untested
	chr1	74885000	74890000	chr1-74885000	untested	untested
	chr1	75030000	75035000	chr1-75030000	untested	untested
	chr1	75360000	75365000	chr1-75360000	untested	untested
	chr1	75365000	75370000	chr1-75365000	untested	untested
	chr1	75415000	75420000	chr1-75415000	untested	untested
	chr1	76405000	76410000	chr1-76405000	untested	untested
	chr1	77275000	77280000	chr1-77275000	untested	untested
	chr1	77360000	77365000	chr1-77360000	untested	untested
	chr1	77450000	77455000	chr1-77450000	untested	untested
	chr1	78980000	78985000	chr1-78980000	untested	untested
	chr1	79095000	79100000	chr1-79095000	untested	untested
	chr1	79315000	79320000	chr1-79315000	untested	untested
	chr1	79445000	79450000	chr1-79445000	untested	untested
	chr1	79540000	79545000	chr1-79540000	untested	untested
	chr1	79585000	79590000	chr1-79585000	untested	untested
	chr1	79810000	79815000	chr1-79810000	untested	untested
	chr1	74925000	74930000	chr1-74925000	untested	untested
	chr1	75455000	75460000	chr1-75455000	untested	untested
	chr1	75570000	75575000	chr1-75570000	untested	untested
	chr1	75575000	75580000	chr1-75575000	untested	untested
	chr1	78890000	78895000	chr1-78890000	untested	untested
	chr1	79040000	79045000	chr1-79040000	untested	untested
	chr1	79075000	79080000	chr1-79075000	untested	untested
	chr1	79255000	79260000	chr1-79255000	untested	untested
	chr1	79355000	79360000	chr1-79355000	untested	untested
	chr1	79440000	79445000	chr1-79440000	untested	untested
	chr1	79475000	79480000	chr1-79475000	untested	untested
	chr1	79595000	79600000	chr1-79595000	untested	untested
	chr1	79645000	79650000	chr1-79645000	untested	untested
	chr1	79660000	79665000	chr1-79660000	untested	untested
	chr1	75080000	75085000	chr1-75080000	untested	untested
	chr1	75380000	75385000	chr1-75380000	untested	untested
	chr1	75850000	75855000	chr1-75850000	untested	untested
	chr1	79035000	79040000	chr1-79035000	untested	untested
	chr1	79045000	79050000	chr1-79045000	untested	untested
	chr1	79525000	79530000	chr1-79525000	untested	untested
	chr1	79760000	79765000	chr1-79760000	untested	untested
	chr1	76165000	76170000	chr1-76165000	untested	untested
	chr1	79405000	79410000	chr1-79405000	untested	untested
	chr1	74910000	74915000	chr1-74910000	untested	untested
	chr1	74915000	74920000	chr1-74915000	untested	untested
	chr1	78745000	78750000	chr1-78745000	untested	untested
	chr1	79465000	79470000	chr1-79465000	untested	untested
	chr1	79515000	79520000	chr1-79515000	untested	untested
	chr1	75345000	75350000	chr1-75345000	untested	untested
	chr1	75355000	75360000	chr1-75355000	untested	untested
	chr1	75450000	75455000	chr1-75450000	untested	untested
	chr1	75485000	75490000	chr1-75485000	untested	untested
	chr1	74875000	74880000	chr1-74875000	untested	untested
	chr1	74930000	74935000	chr1-74930000	untested	untested
	chr1	75260000	75265000	chr1-75260000	untested	untested
	chr1	75340000	75345000	chr1-75340000	untested	untested
	chr1	76145000	76150000	chr1-76145000	untested	untested
	chr1	78775000	78780000	chr1-78775000	untested	untested
	chr1	78805000	78810000	chr1-78805000	untested	untested
	chr1	79205000	79210000	chr1-79205000	untested	untested
	chr1	79310000	79315000	chr1-79310000	untested	untested
	chr1	79480000	79485000	chr1-79480000	untested	untested
	chr1	79665000	79670000	chr1-79665000	untested	untested
	chr1	76775000	76780000	chr1-76775000	untested	untested
	chr1	76895000	76900000	chr1-76895000	untested	untested
	chr1	79060000	79065000	chr1-79060000	untested	untested
	chr1	79265000	79270000	chr1-79265000	untested	untested
	chr1	79570000	79575000	chr1-79570000	untested	untested
	chr1	79625000	79630000	chr1-79625000	untested	untested
	chr1	79675000	79680000	chr1-79675000	untested	untested
	chr1	79720000	79725000	chr1-79720000	untested	untested
	chr1	79750000	79755000	chr1-79750000	untested	untested
	chr1	75045000	75050000	chr1-75045000	untested	untested
	chr1	75095000	75100000	chr1-75095000	untested	untested
	chr1	76870000	76875000	chr1-76870000	untested	untested
	chr1	76930000	76935000	chr1-76930000	untested	untested
	chr1	78650000	78655000	chr1-78650000	untested	untested
	chr1	78810000	78815000	chr1-78810000	untested	untested
	chr1	78940000	78945000	chr1-78940000	untested	untested
	chr1	79065000	79070000	chr1-79065000	untested	untested
	chr1	79415000	79420000	chr1-79415000	untested	untested
	chr1	79805000	79810000	chr1-79805000	untested	untested
	chr1	74880000	74885000	chr1-74880000	untested	untested
	chr1	74945000	74950000	chr1-74945000	untested	untested
	chr1	74970000	74975000	chr1-74970000	untested	untested
	chr1	75020000	75025000	chr1-75020000	untested	untested
	chr1	75075000	75080000	chr1-75075000	untested	untested
	chr1	75100000	75105000	chr1-75100000	untested	untested
	chr1	75170000	75175000	chr1-75170000	untested	untested
	chr1	75240000	75245000	chr1-75240000	untested	untested
	chr1	75335000	75340000	chr1-75335000	untested	untested
	chr1	75350000	75355000	chr1-75350000	untested	untested
	chr1	75375000	75380000	chr1-75375000	untested	untested
	chr1	75430000	75435000	chr1-75430000	untested	untested
	chr1	75440000	75445000	chr1-75440000	untested	untested
	chr1	75470000	75475000	chr1-75470000	untested	untested
	chr1	77085000	77090000	chr1-77085000	untested	untested
	chr1	77095000	77100000	chr1-77095000	untested	untested
	chr1	77115000	77120000	chr1-77115000	untested	untested
	chr1	77130000	77135000	chr1-77130000	untested	untested
	chr1	77160000	77165000	chr1-77160000	untested	untested
	chr1	77185000	77190000	chr1-77185000	untested	untested
	chr1	77375000	77380000	chr1-77375000	untested	untested
	chr1	77400000	77405000	chr1-77400000	untested	untested
	chr1	77410000	77415000	chr1-77410000	untested	untested
	chr1	77430000	77435000	chr1-77430000	untested	untested
	chr1	77455000	77460000	chr1-77455000	untested	untested
	chr1	78625000	78630000	chr1-78625000	untested	untested
	chr1	78690000	78695000	chr1-78690000	untested	untested
	chr1	78695000	78700000	chr1-78695000	untested	untested
	chr1	78755000	78760000	chr1-78755000	untested	untested
	chr1	78770000	78775000	chr1-78770000	untested	untested
	chr1	78780000	78785000	chr1-78780000	untested	untested
	chr1	78825000	78830000	chr1-78825000	untested	untested
	chr1	78830000	78835000	chr1-78830000	untested	untested
	chr1	78865000	78870000	chr1-78865000	untested	untested
	chr1	78880000	78885000	chr1-78880000	untested	untested
	chr1	78885000	78890000	chr1-78885000	untested	untested
	chr1	78945000	78950000	chr1-78945000	untested	untested
	chr1	78950000	78955000	chr1-78950000	untested	untested
	chr1	78965000	78970000	chr1-78965000	untested	untested
	chr1	78970000	78975000	chr1-78970000	untested	untested
	chr1	78995000	79000000	chr1-78995000	untested	untested
	chr1	79005000	79010000	chr1-79005000	untested	untested
	chr1	79025000	79030000	chr1-79025000	untested	untested
	chr1	79080000	79085000	chr1-79080000	untested	untested
	chr1	79090000	79095000	chr1-79090000	untested	untested
	chr1	79210000	79215000	chr1-79210000	untested	untested
	chr1	79235000	79240000	chr1-79235000	untested	untested
	chr1	79275000	79280000	chr1-79275000	untested	untested
	chr1	79320000	79325000	chr1-79320000	untested	untested
	chr1	79345000	79350000	chr1-79345000	untested	untested
	chr1	79350000	79355000	chr1-79350000	untested	untested
	chr1	79370000	79375000	chr1-79370000	untested	untested
	chr1	79375000	79380000	chr1-79375000	untested	untested
	chr1	79380000	79385000	chr1-79380000	untested	untested
	chr1	79385000	79390000	chr1-79385000	untested	untested
	chr1	79390000	79395000	chr1-79390000	untested	untested
	chr1	79395000	79400000	chr1-79395000	untested	untested
	chr1	79400000	79405000	chr1-79400000	untested	untested
	chr1	79410000	79415000	chr1-79410000	untested	untested
	chr1	79420000	79425000	chr1-79420000	untested	untested
	chr1	79435000	79440000	chr1-79435000	untested	untested
	chr1	79450000	79455000	chr1-79450000	untested	untested
	chr1	79455000	79460000	chr1-79455000	untested	untested
	chr1	79460000	79465000	chr1-79460000	untested	untested
	chr1	79485000	79490000	chr1-79485000	untested	untested
	chr1	79495000	79500000	chr1-79495000	untested	untested
	chr1	79505000	79510000	chr1-79505000	untested	untested
	chr1	79510000	79515000	chr1-79510000	untested	untested
	chr1	79520000	79525000	chr1-79520000	untested	untested
	chr1	79555000	79560000	chr1-79555000	untested	untested
	chr1	79575000	79580000	chr1-79575000	untested	untested
	chr1	79590000	79595000	chr1-79590000	untested	untested
	chr1	79605000	79610000	chr1-79605000	untested	untested
	chr1	79610000	79615000	chr1-79610000	untested	untested
	chr1	79615000	79620000	chr1-79615000	untested	untested
	chr1	79630000	79635000	chr1-79630000	untested	untested
	chr1	79635000	79640000	chr1-79635000	untested	untested
	chr1	79640000	79645000	chr1-79640000	untested	untested
	chr1	79650000	79655000	chr1-79650000	untested	untested
	chr1	79655000	79660000	chr1-79655000	untested	untested
	chr1	79670000	79675000	chr1-79670000	untested	untested
	chr1	79680000	79685000	chr1-79680000	untested	untested
	chr1	79710000	79715000	chr1-79710000	untested	untested
	chr1	79715000	79720000	chr1-79715000	untested	untested
	chr1	79725000	79730000	chr1-79725000	untested	untested
	chr1	79770000	79775000	chr1-79770000	untested	untested
	chr1	79780000	79785000	chr1-79780000	untested	untested
	chr1	79785000	79790000	chr1-79785000	untested	untested
	chr1	79790000	79795000	chr1-79790000	untested	untested
	chr1	79795000	79800000	chr1-79795000	untested	untested
	chr1	79825000	79830000	chr1-79825000	untested	untested
	chr1	74865000	74870000	chr1-74865000	untested	untested
	chr1	76920000	76925000	chr1-76920000	untested	untested
	chr1	77020000	77025000	chr1-77020000	untested	untested
	chr1	77180000	77185000	chr1-77180000	untested	untested
	chr1	77200000	77205000	chr1-77200000	untested	untested
	chr1	78680000	78685000	chr1-78680000	untested	untested
	chr1	79140000	79145000	chr1-79140000	untested	untested
	chr1	79280000	79285000	chr1-79280000	untested	untested
	chr1	79300000	79305000	chr1-79300000	untested	untested
	chr1	79470000	79475000	chr1-79470000	untested	untested
	chr1	79535000	79540000	chr1-79535000	untested	untested
	chr1	79550000	79555000	chr1-79550000	untested	untested
	chr1	79815000	79820000	chr1-79815000	untested	untested
	chr1	79765000	79770000	chr1-79765000	untested	untested
	chr1	79775000	79780000	chr1-79775000	untested	untested
	chr1	79620000	79625000	chr1-79620000	untested	untested
	chr1	79600000	79605000	chr1-79600000	untested	untested
	chr1	79875000	79880000	chr1-79875000	untested	untested
	chr1	79880000	79885000	chr1-79880000	untested	untested
	chr1	79940000	79945000	chr1-79940000	untested	untested
	chr1	80020000	80025000	chr1-80020000	untested	untested
	chr1	80135000	80140000	chr1-80135000	untested	untested
	chr1	80180000	80185000	chr1-80180000	untested	untested
	chr1	80235000	80240000	chr1-80235000	untested	untested
	chr1	80240000	80245000	chr1-80240000	untested	untested
	chr1	80420000	80425000	chr1-80420000	untested	untested
	chr1	80455000	80460000	chr1-80455000	untested	untested
	chr1	80500000	80505000	chr1-80500000	untested	untested
	chr1	80530000	80535000	chr1-80530000	untested	untested
	chr1	80535000	80540000	chr1-80535000	untested	untested
	chr1	80645000	80650000	chr1-80645000	untested	untested
	chr1	80670000	80675000	chr1-80670000	untested	untested
	chr1	80800000	80805000	chr1-80800000	untested	untested
	chr1	80820000	80825000	chr1-80820000	untested	untested
	chr1	80855000	80860000	chr1-80855000	untested	untested
	chr1	80865000	80870000	chr1-80865000	untested	untested
	chr1	80885000	80890000	chr1-80885000	untested	untested
	chr1	80890000	80895000	chr1-80890000	untested	untested
	chr1	80960000	80965000	chr1-80960000	untested	untested
	chr1	81030000	81035000	chr1-81030000	untested	untested
	chr1	81175000	81180000	chr1-81175000	untested	untested
	chr1	81190000	81195000	chr1-81190000	untested	untested
	chr1	81310000	81315000	chr1-81310000	untested	untested
	chr1	81335000	81340000	chr1-81335000	untested	untested
	chr1	81340000	81345000	chr1-81340000	untested	untested
	chr1	81485000	81490000	chr1-81485000	untested	untested
	chr1	81505000	81510000	chr1-81505000	untested	untested
	chr1	81550000	81555000	chr1-81550000	untested	untested
	chr1	81585000	81590000	chr1-81585000	untested	untested
	chr1	81680000	81685000	chr1-81680000	untested	untested
	chr1	81710000	81715000	chr1-81710000	untested	untested
	chr1	81730000	81735000	chr1-81730000	untested	untested
	chr1	81775000	81780000	chr1-81775000	untested	untested
	chr1	81820000	81825000	chr1-81820000	untested	untested
	chr1	82285000	82290000	chr1-82285000	untested	untested
	chr1	82325000	82330000	chr1-82325000	untested	untested
	chr1	82395000	82400000	chr1-82395000	untested	untested
	chr1	82445000	82450000	chr1-82445000	untested	untested
	chr1	82555000	82560000	chr1-82555000	untested	untested
	chr1	82565000	82570000	chr1-82565000	untested	untested
	chr1	82600000	82605000	chr1-82600000	untested	untested
	chr1	82645000	82650000	chr1-82645000	untested	untested
	chr1	82650000	82655000	chr1-82650000	untested	untested
	chr1	82775000	82780000	chr1-82775000	untested	untested
	chr1	82890000	82895000	chr1-82890000	untested	untested
	chr1	83070000	83075000	chr1-83070000	untested	untested
	chr1	83280000	83285000	chr1-83280000	untested	untested
	chr1	83335000	83340000	chr1-83335000	untested	untested
	chr1	83345000	83350000	chr1-83345000	untested	untested
	chr1	83385000	83390000	chr1-83385000	untested	untested
	chr1	83425000	83430000	chr1-83425000	untested	untested
	chr1	83580000	83585000	chr1-83580000	untested	untested
	chr1	83590000	83595000	chr1-83590000	untested	untested
	chr1	83605000	83610000	chr1-83605000	untested	untested
	chr1	83675000	83680000	chr1-83675000	untested	untested
	chr1	83755000	83760000	chr1-83755000	untested	untested
	chr1	83785000	83790000	chr1-83785000	untested	untested
	chr1	83805000	83810000	chr1-83805000	untested	untested
	chr1	83830000	83835000	chr1-83830000	untested	untested
	chr1	83900000	83905000	chr1-83900000	untested	untested
	chr1	83905000	83910000	chr1-83905000	untested	untested
	chr1	84040000	84045000	chr1-84040000	untested	untested
	chr1	79895000	79900000	chr1-79895000	untested	untested
	chr1	79980000	79985000	chr1-79980000	untested	untested
	chr1	80120000	80125000	chr1-80120000	untested	untested
	chr1	80160000	80165000	chr1-80160000	untested	untested
	chr1	80210000	80215000	chr1-80210000	untested	untested
	chr1	80325000	80330000	chr1-80325000	untested	untested
	chr1	80355000	80360000	chr1-80355000	untested	untested
	chr1	80465000	80470000	chr1-80465000	untested	untested
	chr1	80520000	80525000	chr1-80520000	untested	untested
	chr1	80525000	80530000	chr1-80525000	untested	untested
	chr1	80775000	80780000	chr1-80775000	untested	untested
	chr1	80805000	80810000	chr1-80805000	untested	untested
	chr1	80925000	80930000	chr1-80925000	untested	untested
	chr1	81055000	81060000	chr1-81055000	untested	untested
	chr1	81140000	81145000	chr1-81140000	untested	untested
	chr1	81165000	81170000	chr1-81165000	untested	untested
	chr1	81210000	81215000	chr1-81210000	untested	untested
	chr1	81375000	81380000	chr1-81375000	untested	untested
	chr1	81395000	81400000	chr1-81395000	untested	untested
	chr1	81430000	81435000	chr1-81430000	untested	untested
	chr1	81615000	81620000	chr1-81615000	untested	untested
	chr1	82050000	82055000	chr1-82050000	untested	untested
	chr1	82455000	82460000	chr1-82455000	untested	untested
	chr1	82595000	82600000	chr1-82595000	untested	untested
	chr1	82615000	82620000	chr1-82615000	untested	untested
	chr1	82715000	82720000	chr1-82715000	untested	untested
	chr1	82800000	82805000	chr1-82800000	untested	untested
	chr1	83130000	83135000	chr1-83130000	untested	untested
	chr1	83275000	83280000	chr1-83275000	untested	untested
	chr1	83305000	83310000	chr1-83305000	untested	untested
	chr1	83310000	83315000	chr1-83310000	untested	untested
	chr1	83330000	83335000	chr1-83330000	untested	untested
	chr1	83340000	83345000	chr1-83340000	untested	untested
	chr1	83400000	83405000	chr1-83400000	untested	untested
	chr1	83480000	83485000	chr1-83480000	untested	untested
	chr1	83560000	83565000	chr1-83560000	untested	untested
	chr1	83610000	83615000	chr1-83610000	untested	untested
	chr1	83640000	83645000	chr1-83640000	untested	untested
	chr1	83645000	83650000	chr1-83645000	untested	untested
	chr1	83665000	83670000	chr1-83665000	untested	untested
	chr1	83680000	83685000	chr1-83680000	untested	untested
	chr1	83705000	83710000	chr1-83705000	untested	untested
	chr1	83760000	83765000	chr1-83760000	untested	untested
	chr1	83790000	83795000	chr1-83790000	untested	untested
	chr1	83825000	83830000	chr1-83825000	untested	untested
	chr1	83850000	83855000	chr1-83850000	untested	untested
	chr1	83865000	83870000	chr1-83865000	untested	untested
	chr1	83880000	83885000	chr1-83880000	untested	untested
	chr1	83955000	83960000	chr1-83955000	untested	untested
	chr1	83960000	83965000	chr1-83960000	untested	untested
	chr1	84080000	84085000	chr1-84080000	untested	untested
	chr1	84290000	84295000	chr1-84290000	untested	untested
	chr1	84330000	84335000	chr1-84330000	untested	untested
	chr1	84520000	84525000	chr1-84520000	untested	untested
	chr1	79950000	79955000	chr1-79950000	untested	untested
	chr1	80110000	80115000	chr1-80110000	untested	untested
	chr1	80165000	80170000	chr1-80165000	untested	untested
	chr1	80795000	80800000	chr1-80795000	untested	untested
	chr1	80930000	80935000	chr1-80930000	untested	untested
	chr1	81060000	81065000	chr1-81060000	untested	untested
	chr1	81240000	81245000	chr1-81240000	untested	untested
	chr1	82025000	82030000	chr1-82025000	untested	untested
	chr1	82795000	82800000	chr1-82795000	untested	untested
	chr1	83180000	83185000	chr1-83180000	untested	untested
	chr1	83295000	83300000	chr1-83295000	untested	untested
	chr1	83375000	83380000	chr1-83375000	untested	untested
	chr1	83380000	83385000	chr1-83380000	untested	untested
	chr1	83600000	83605000	chr1-83600000	untested	untested
	chr1	83635000	83640000	chr1-83635000	untested	untested
	chr1	83700000	83705000	chr1-83700000	untested	untested
	chr1	83765000	83770000	chr1-83765000	untested	untested
	chr1	83845000	83850000	chr1-83845000	untested	untested
	chr1	83870000	83875000	chr1-83870000	untested	untested
	chr1	79955000	79960000	chr1-79955000	untested	untested
	chr1	79985000	79990000	chr1-79985000	untested	untested
	chr1	80005000	80010000	chr1-80005000	untested	untested
	chr1	80595000	80600000	chr1-80595000	untested	untested
	chr1	80600000	80605000	chr1-80600000	untested	untested
	chr1	80730000	80735000	chr1-80730000	untested	untested
	chr1	80870000	80875000	chr1-80870000	untested	untested
	chr1	81085000	81090000	chr1-81085000	untested	untested
	chr1	82205000	82210000	chr1-82205000	untested	untested
	chr1	82225000	82230000	chr1-82225000	untested	untested
	chr1	82665000	82670000	chr1-82665000	untested	untested
	chr1	82810000	82815000	chr1-82810000	untested	untested
	chr1	83685000	83690000	chr1-83685000	untested	untested
	chr1	83690000	83695000	chr1-83690000	untested	untested
	chr1	83695000	83700000	chr1-83695000	untested	untested
	chr1	83725000	83730000	chr1-83725000	untested	untested
	chr1	83800000	83805000	chr1-83800000	untested	untested
	chr1	83810000	83815000	chr1-83810000	untested	untested
	chr1	83855000	83860000	chr1-83855000	untested	untested
	chr1	83860000	83865000	chr1-83860000	untested	untested
	chr1	80200000	80205000	chr1-80200000	untested	untested
	chr1	80270000	80275000	chr1-80270000	untested	untested
	chr1	81400000	81405000	chr1-81400000	untested	untested
	chr1	81520000	81525000	chr1-81520000	untested	untested
	chr1	83125000	83130000	chr1-83125000	untested	untested
	chr1	83155000	83160000	chr1-83155000	untested	untested
	chr1	83885000	83890000	chr1-83885000	untested	untested
	chr1	83930000	83935000	chr1-83930000	untested	untested
	chr1	84340000	84345000	chr1-84340000	untested	untested
	chr1	79840000	79845000	chr1-79840000	untested	untested
	chr1	80835000	80840000	chr1-80835000	untested	untested
	chr1	80875000	80880000	chr1-80875000	untested	untested
	chr1	80945000	80950000	chr1-80945000	untested	untested
	chr1	81410000	81415000	chr1-81410000	untested	untested
	chr1	83210000	83215000	chr1-83210000	untested	untested
	chr1	83715000	83720000	chr1-83715000	untested	untested
	chr1	83895000	83900000	chr1-83895000	untested	untested
	chr1	83915000	83920000	chr1-83915000	untested	untested
	chr1	79965000	79970000	chr1-79965000	untested	untested
	chr1	80475000	80480000	chr1-80475000	untested	untested
	chr1	80545000	80550000	chr1-80545000	untested	untested
	chr1	80915000	80920000	chr1-80915000	untested	untested
	chr1	80955000	80960000	chr1-80955000	untested	untested
	chr1	81170000	81175000	chr1-81170000	untested	untested
	chr1	81195000	81200000	chr1-81195000	untested	untested
	chr1	81215000	81220000	chr1-81215000	untested	untested
	chr1	81305000	81310000	chr1-81305000	untested	untested
	chr1	81325000	81330000	chr1-81325000	untested	untested
	chr1	81780000	81785000	chr1-81780000	untested	untested
	chr1	82360000	82365000	chr1-82360000	untested	untested
	chr1	82820000	82825000	chr1-82820000	untested	untested
	chr1	83025000	83030000	chr1-83025000	untested	untested
	chr1	83720000	83725000	chr1-83720000	untested	untested
