c	s	e	str	Ess	round	GC
chr20	26135000	26140000	chr20-26135000	Noness	1st	0.3332
chr20	26140000	26145000	chr20-26140000	Noness	1st	0.3494
chr20	26155000	26160000	chr20-26155000	Noness	1st	0.3366
chr20	26160000	26165000	chr20-26160000	Noness	1st	0.3486
chr20	26200000	26205000	chr20-26200000	Noness	1st	0.3506
chr20	26205000	26210000	chr20-26205000	Noness	1st	0.3278
chr20	26230000	26235000	chr20-26230000	Noness	1st	0.4292
chr20	26240000	26245000	chr20-26240000	Noness	1st	0.3702
chr20	21835000	21840000	chr20-21835000	Noness	1st	0.395
chr20	26270000	26275000	chr20-26270000	Noness	1st	0.3686
chr20	26315000	26320000	chr20-26315000	Noness	1st	0.3206
chr20	29425000	29430000	chr20-29425000	Noness	1st	0.411
chr20	29430000	29435000	chr20-29430000	Noness	1st	0.3406
chr20	29470000	29475000	chr20-29470000	Noness	1st	0.3682
chr20	29480000	29485000	chr20-29480000	Noness	1st	0.3166
chr20	29485000	29490000	chr20-29485000	Noness	1st	0.3978
chr20	29525000	29530000	chr20-29525000	Noness	1st	0.532
chr20	29535000	29540000	chr20-29535000	Noness	1st	0.5002
chr20	21845000	21850000	chr20-21845000	Noness	1st	0.426
chr20	29540000	29545000	chr20-29540000	Noness	1st	0.4588
chr20	29545000	29550000	chr20-29545000	Noness	1st	0.4656
chr20	29550000	29555000	chr20-29550000	Noness	1st	0.5158
chr20	29555000	29560000	chr20-29555000	Noness	1st	0.4948
chr20	29560000	29565000	chr20-29560000	Noness	1st	0.4576
chr20	29565000	29570000	chr20-29565000	Noness	1st	0.4462
chr20	29570000	29575000	chr20-29570000	Noness	1st	0.4736
chr20	29575000	29580000	chr20-29575000	Noness	1st	0.4066
chr20	29580000	29585000	chr20-29580000	Noness	1st	0.4004
chr20	29585000	29590000	chr20-29585000	Noness	1st	0.3326
chr20	29590000	29595000	chr20-29590000	Noness	1st	0.385
chr20	29595000	29600000	chr20-29595000	Noness	1st	0.3964
chr20	29600000	29605000	chr20-29600000	Noness	1st	0.3224
chr20	29605000	29610000	chr20-29605000	Noness	1st	0.3668
chr20	29645000	29650000	chr20-29645000	Noness	1st	0.4138
chr20	53840000	53845000	chr20-53840000	Noness	1st	0.4004
chr20	54855000	54860000	chr20-54855000	Noness	1st	0.3088
chr20	22175000	22180000	chr20-22175000	Noness	1st	0.4054
chr20	25735000	25740000	chr20-25735000	Noness	1st	0.4192
chr21	10700000	10705000	chr21-10700000	Noness	1st	0.3528
chr21	11150000	11155000	chr21-11150000	Noness	1st	0.3682
chr21	14600000	14605000	chr21-14600000	Noness	1st	0.3804
chr21	14690000	14695000	chr21-14690000	Noness	1st	0.3416
chr21	14780000	14785000	chr21-14780000	Noness	1st	0.3708
chr21	14805000	14810000	chr21-14805000	Noness	1st	0.444
chr21	10710000	10715000	chr21-10710000	Noness	1st	0.3546
chr21	14820000	14825000	chr21-14820000	Noness	1st	0.3722
chr21	14825000	14830000	chr21-14825000	Noness	1st	0.4052
chr21	14845000	14850000	chr21-14845000	Noness	1st	0.4066
chr21	15255000	15260000	chr21-15255000	Noness	1st	0.4638
chr21	15305000	15310000	chr21-15305000	Noness	1st	0.5112
chr21	15355000	15360000	chr21-15355000	Noness	1st	0.5846
chr21	15375000	15380000	chr21-15375000	Noness	1st	0.4062
chr21	15400000	15405000	chr21-15400000	Noness	1st	0.4392
chr21	10760000	10765000	chr21-10760000	Noness	1st	0.3638
chr21	10815000	10820000	chr21-10815000	Noness	1st	0.4036
chr21	10860000	10865000	chr21-10860000	Noness	1st	0.425
chr21	10870000	10875000	chr21-10870000	Noness	1st	0.4554
chr21	11105000	11110000	chr21-11105000	Noness	1st	0.4734
chr21	11125000	11130000	chr21-11125000	Noness	1st	0.4686
chr21	11130000	11135000	chr21-11130000	Noness	1st	0.5132
chr22	24290000	24295000	chr22-24290000	Noness	1st	0.537
chr22	34770000	34775000	chr22-34770000	Noness	1st	0.4072
chr22	35385000	35390000	chr22-35385000	Noness	1st	0.4218
chr22	17315000	17320000	chr22-17315000	Noness	1st	0.3356
chr22	17320000	17325000	chr22-17320000	Noness	1st	0.3962
chr22	17340000	17345000	chr22-17340000	Noness	1st	0.4148
chr3	21865000	21870000	chr3-21865000	Noness	1st	0.3616
chr3	104360000	104365000	chr3-104360000	Noness	1st	0.3442
chr3	106190000	106195000	chr3-106190000	Noness	1st	0.3414
chr3	116925000	116930000	chr3-116925000	Noness	1st	0.3592
chr3	146780000	146785000	chr3-146780000	Noness	1st	0.3708
chr3	78470000	78475000	chr3-78470000	Noness	1st	0.3432
chr3	83345000	83350000	chr3-83345000	Noness	1st	0.303
chr3	86360000	86365000	chr3-86360000	Noness	1st	0.3296
chr3	86905000	86910000	chr3-86905000	Noness	1st	0.3042
chr3	87955000	87960000	chr3-87955000	Noness	1st	0.3298
chr3	90015000	90020000	chr3-90015000	Noness	1st	0.3664
chr3	102980000	102985000	chr3-102980000	Noness	1st	0.3322
chr4	9375000	9380000	chr4-9375000	Noness	1st	0.4364
chr4	107480000	107485000	chr4-107480000	Noness	1st	0.4096
chr4	116735000	116740000	chr4-116735000	Noness	1st	0.3824
chr4	118870000	118875000	chr4-118870000	Noness	1st	0.3862
chr4	120275000	120280000	chr4-120275000	Noness	1st	0.3582
chr4	144945000	144950000	chr4-144945000	Noness	1st	0.4028
chr4	155940000	155945000	chr4-155940000	Noness	1st	0.414
chr4	161025000	161030000	chr4-161025000	Noness	1st	0.3408
chr4	161335000	161340000	chr4-161335000	Noness	1st	0.369
chr4	9405000	9410000	chr4-9405000	Noness	1st	0.4504
chr4	161470000	161475000	chr4-161470000	Noness	1st	0.423
chr4	161655000	161660000	chr4-161655000	Noness	1st	0.3638
chr4	161685000	161690000	chr4-161685000	Noness	1st	0.35
chr4	161730000	161735000	chr4-161730000	Noness	1st	0.33
chr4	161785000	161790000	chr4-161785000	Noness	1st	0.3284
chr4	171275000	171280000	chr4-171275000	Noness	1st	0.3884
chr4	171330000	171335000	chr4-171330000	Noness	1st	0.3876
chr4	190495000	190500000	chr4-190495000	Noness	1st	0.3994
chr4	190520000	190525000	chr4-190520000	Noness	1st	0.4794
chr4	12465000	12470000	chr4-12465000	Noness	1st	0.369
chr4	45805000	45810000	chr4-45805000	Noness	1st	0.3514
chr4	49085000	49090000	chr4-49085000	Noness	1st	0.3834
chr4	70125000	70130000	chr4-70125000	Noness	1st	0.3124
chr4	104870000	104875000	chr4-104870000	Noness	1st	0.3486
chr5	25420000	25425000	chr5-25420000	Noness	1st	0.3088
chr5	46180000	46185000	chr5-46180000	Noness	1st	0.3638
chr5	46255000	46260000	chr5-46255000	Noness	1st	0.3622
chr5	49565000	49570000	chr5-49565000	Noness	1st	0.364
chr5	49805000	49810000	chr5-49805000	Noness	1st	0.3478
chr5	51505000	51510000	chr5-51505000	Noness	1st	0.3478
chr5	70705000	70710000	chr5-70705000	Noness	1st	0.3594
chr5	70710000	70715000	chr5-70710000	Noness	1st	0.3704
chr5	70740000	70745000	chr5-70740000	Noness	1st	0.3598
chr5	28500000	28505000	chr5-28500000	Noness	1st	0.3744
chr5	89445000	89450000	chr5-89445000	Noness	1st	0.3892
chr5	92200000	92205000	chr5-92200000	Noness	1st	0.3886
chr5	96570000	96575000	chr5-96570000	Noness	1st	0.391
chr5	97360000	97365000	chr5-97360000	Noness	1st	0.3876
chr5	98695000	98700000	chr5-98695000	Noness	1st	0.3676
chr5	106075000	106080000	chr5-106075000	Noness	1st	0.3114
chr5	110110000	110115000	chr5-110110000	Noness	1st	0.385
chr5	113625000	113630000	chr5-113625000	Noness	1st	0.3654
chr5	28615000	28620000	chr5-28615000	Noness	1st	0.2374
chr5	120890000	120895000	chr5-120890000	Noness	1st	0.3734
chr5	121930000	121935000	chr5-121930000	Noness	1st	0.4142
chr5	125310000	125315000	chr5-125310000	Noness	1st	0.3534
chr5	164185000	164190000	chr5-164185000	Noness	1st	0.3702
chr5	164230000	164235000	chr5-164230000	Noness	1st	0.3486
chr5	165390000	165395000	chr5-165390000	Noness	1st	0.3872
chr5	29420000	29425000	chr5-29420000	Noness	1st	0.3452
chr5	165970000	165975000	chr5-165970000	Noness	1st	0.3292
chr5	175355000	175360000	chr5-175355000	Noness	1st	0.3394
chr5	30145000	30150000	chr5-30145000	Noness	1st	0.3174
chr5	45925000	45930000	chr5-45925000	Noness	1st	0.3796
chr5	45995000	46000000	chr5-45995000	Noness	1st	0.3564
chr5	46120000	46125000	chr5-46120000	Noness	1st	0.3666
chr5	46140000	46145000	chr5-46140000	Noness	1st	0.3584
chr6	57835000	57840000	chr6-57835000	Noness	1st	0.4182
chr6	57990000	57995000	chr6-57990000	Noness	1st	0.3892
chr6	58055000	58060000	chr6-58055000	Noness	1st	0.3494
chr6	58395000	58400000	chr6-58395000	Noness	1st	0.3704
chr6	58605000	58610000	chr6-58605000	Noness	1st	0.4154
chr6	58615000	58620000	chr6-58615000	Noness	1st	0.373
chr6	58770000	58775000	chr6-58770000	Noness	1st	0.3718
chr6	61945000	61950000	chr6-61945000	Noness	1st	0.3874
chr6	61960000	61965000	chr6-61960000	Noness	1st	0.423
chr6	61965000	61970000	chr6-61965000	Noness	1st	0.3644
chr6	61990000	61995000	chr6-61990000	Noness	1st	0.3728
chr6	61995000	62000000	chr6-61995000	Noness	1st	0.3416
chr6	62000000	62005000	chr6-62000000	Noness	1st	0.3398
chr6	62010000	62015000	chr6-62010000	Noness	1st	0.3318
chr6	62015000	62020000	chr6-62015000	Noness	1st	0.342
chr6	62020000	62025000	chr6-62020000	Noness	1st	0.3512
chr6	62025000	62030000	chr6-62025000	Noness	1st	0.309
chr6	62045000	62050000	chr6-62045000	Noness	1st	0.375
chr6	62050000	62055000	chr6-62050000	Noness	1st	0.4096
chr6	62055000	62060000	chr6-62055000	Noness	1st	0.3836
chr6	62085000	62090000	chr6-62085000	Noness	1st	0.3514
chr6	62235000	62240000	chr6-62235000	Noness	1st	0.3768
chr6	62240000	62245000	chr6-62240000	Noness	1st	0.4126
chr6	62245000	62250000	chr6-62245000	Noness	1st	0.361
chr6	63555000	63560000	chr6-63555000	Noness	1st	0.4056
chr6	66620000	66625000	chr6-66620000	Noness	1st	0.2992
chr6	67680000	67685000	chr6-67680000	Noness	1st	0.301
chr6	67995000	68000000	chr6-67995000	Noness	1st	0.3498
chr6	75535000	75540000	chr6-75535000	Noness	1st	0.386
chr6	75610000	75615000	chr6-75610000	Noness	1st	0.3892
chr6	77565000	77570000	chr6-77565000	Noness	1st	0.3024
chr6	77765000	77770000	chr6-77765000	Noness	1st	0.3272
chr6	77785000	77790000	chr6-77785000	Noness	1st	0.3286
chr6	78020000	78025000	chr6-78020000	Noness	1st	0.3204
chr6	55825000	55830000	chr6-55825000	Noness	1st	0.3664
chr6	81235000	81240000	chr6-81235000	Noness	1st	0.3552
chr6	81390000	81395000	chr6-81390000	Noness	1st	0.3628
chr6	91940000	91945000	chr6-91940000	Noness	1st	0.3564
chr6	92210000	92215000	chr6-92210000	Noness	1st	0.3146
chr6	92885000	92890000	chr6-92885000	Noness	1st	0.3338
chr6	92890000	92895000	chr6-92890000	Noness	1st	0.334
chr6	93105000	93110000	chr6-93105000	Noness	1st	0.3244
chr6	93455000	93460000	chr6-93455000	Noness	1st	0.3152
chr6	93605000	93610000	chr6-93605000	Noness	1st	0.3142
chr6	93695000	93700000	chr6-93695000	Noness	1st	0.3394
chr6	93755000	93760000	chr6-93755000	Noness	1st	0.3196
chr6	94265000	94270000	chr6-94265000	Noness	1st	0.3442
chr6	94640000	94645000	chr6-94640000	Noness	1st	0.3274
chr6	94705000	94710000	chr6-94705000	Noness	1st	0.3224
chr6	94740000	94745000	chr6-94740000	Noness	1st	0.3428
chr6	94755000	94760000	chr6-94755000	Noness	1st	0.337
chr6	94860000	94865000	chr6-94860000	Noness	1st	0.334
chr6	94955000	94960000	chr6-94955000	Noness	1st	0.3478
chr6	95330000	95335000	chr6-95330000	Noness	1st	0.3082
chr6	95660000	95665000	chr6-95660000	Noness	1st	0.3322
chr6	95675000	95680000	chr6-95675000	Noness	1st	0.3596
chr6	96380000	96385000	chr6-96380000	Noness	1st	0.3326
chr6	96875000	96880000	chr6-96875000	Noness	1st	0.342
chr6	98675000	98680000	chr6-98675000	Noness	1st	0.354
chr6	103095000	103100000	chr6-103095000	Noness	1st	0.4006
chr6	103920000	103925000	chr6-103920000	Noness	1st	0.3086
chr6	104405000	104410000	chr6-104405000	Noness	1st	0.3352
chr6	104520000	104525000	chr6-104520000	Noness	1st	0.357
chr6	115080000	115085000	chr6-115080000	Noness	1st	0.3182
chr6	57630000	57635000	chr6-57630000	Noness	1st	0.4228
chr6	120660000	120665000	chr6-120660000	Noness	1st	0.3166
chr6	57720000	57725000	chr6-57720000	Noness	1st	0.3662
chr7	9820000	9825000	chr7-9820000	Noness	1st	0.3528
chr7	62150000	62155000	chr7-62150000	Noness	1st	0.3636
chr7	62185000	62190000	chr7-62185000	Noness	1st	0.3712
chr7	62360000	62365000	chr7-62360000	Noness	1st	0.3916
chr7	62415000	62420000	chr7-62415000	Noness	1st	0.3622
chr7	62435000	62440000	chr7-62435000	Noness	1st	0.375
chr7	62690000	62695000	chr7-62690000	Noness	1st	0.5084
chr7	62925000	62930000	chr7-62925000	Noness	1st	0.4016
chr7	10130000	10135000	chr7-10130000	Noness	1st	0.3152
chr7	64540000	64545000	chr7-64540000	Noness	1st	0.4902
chr7	64550000	64555000	chr7-64550000	Noness	1st	0.4156
chr7	66710000	66715000	chr7-66710000	Noness	1st	0.4086
chr7	74285000	74290000	chr7-74285000	Noness	1st	0.4972
chr7	76305000	76310000	chr7-76305000	Noness	1st	0.3668
chr7	76405000	76410000	chr7-76405000	Noness	1st	0.3372
chr7	10180000	10185000	chr7-10180000	Noness	1st	0.3316
chr7	76410000	76415000	chr7-76410000	Noness	1st	0.3254
chr7	79270000	79275000	chr7-79270000	Noness	1st	0.3536
chr7	79850000	79855000	chr7-79850000	Noness	1st	0.3688
chr7	82285000	82290000	chr7-82285000	Noness	1st	0.4148
chr7	82930000	82935000	chr7-82930000	Noness	1st	0.329
chr7	83330000	83335000	chr7-83330000	Noness	1st	0.332
chr7	85485000	85490000	chr7-85485000	Noness	1st	0.3098
chr7	10200000	10205000	chr7-10200000	Noness	1st	0.2978
chr7	85925000	85930000	chr7-85925000	Noness	1st	0.3492
chr7	89465000	89470000	chr7-89465000	Noness	1st	0.3502
chr7	90145000	90150000	chr7-90145000	Noness	1st	0.3174
chr7	97395000	97400000	chr7-97395000	Noness	1st	0.371
chr7	102335000	102340000	chr7-102335000	Noness	1st	0.3994
chr7	102340000	102345000	chr7-102340000	Noness	1st	0.3394
chr7	102355000	102360000	chr7-102355000	Noness	1st	0.3906
chr7	122720000	122725000	chr7-122720000	Noness	1st	0.4002
chr7	10590000	10595000	chr7-10590000	Noness	1st	0.3154
chr7	149595000	149600000	chr7-149595000	Noness	1st	0.3942
chr7	149680000	149685000	chr7-149680000	Noness	1st	0.4106
chr7	153410000	153415000	chr7-153410000	Noness	1st	0.38
chr7	153500000	153505000	chr7-153500000	Noness	1st	0.4218
chr7	11915000	11920000	chr7-11915000	Noness	1st	0.3322
chr7	11935000	11940000	chr7-11935000	Noness	1st	0.2996
chr7	13455000	13460000	chr7-13455000	Noness	1st	0.3398
chr7	13740000	13745000	chr7-13740000	Noness	1st	0.3304
chr7	14975000	14980000	chr7-14975000	Noness	1st	0.3524
chr7	5825000	5830000	chr7-5825000	Noness	1st	0.4766
chr7	14985000	14990000	chr7-14985000	Noness	1st	0.3006
chr7	15105000	15110000	chr7-15105000	Noness	1st	0.347
chr7	15110000	15115000	chr7-15110000	Noness	1st	0.3652
chr7	19045000	19050000	chr7-19045000	Noness	1st	0.363
chr7	19055000	19060000	chr7-19055000	Noness	1st	0.3476
chr7	19280000	19285000	chr7-19280000	Noness	1st	0.4022
chr7	19335000	19340000	chr7-19335000	Noness	1st	0.3668
chr7	19395000	19400000	chr7-19395000	Noness	1st	0.3726
chr7	19445000	19450000	chr7-19445000	Noness	1st	0.371
chr7	19480000	19485000	chr7-19480000	Noness	1st	0.342
chr7	8855000	8860000	chr7-8855000	Noness	1st	0.3656
chr7	19545000	19550000	chr7-19545000	Noness	1st	0.3554
chr7	19615000	19620000	chr7-19615000	Noness	1st	0.3384
chr7	19625000	19630000	chr7-19625000	Noness	1st	0.349
chr7	19660000	19665000	chr7-19660000	Noness	1st	0.3256
chr7	19840000	19845000	chr7-19840000	Noness	1st	0.3554
chr7	19845000	19850000	chr7-19845000	Noness	1st	0.3628
chr7	32785000	32790000	chr7-32785000	Noness	1st	0.3832
chr7	33680000	33685000	chr7-33680000	Noness	1st	0.3826
chr7	9015000	9020000	chr7-9015000	Noness	1st	0.3372
chr7	35115000	35120000	chr7-35115000	Noness	1st	0.3432
chr7	35985000	35990000	chr7-35985000	Noness	1st	0.3364
chr7	40915000	40920000	chr7-40915000	Noness	1st	0.3938
chr7	41115000	41120000	chr7-41115000	Noness	1st	0.3468
chr7	41390000	41395000	chr7-41390000	Noness	1st	0.3704
chr7	41415000	41420000	chr7-41415000	Noness	1st	0.3678
chr7	41630000	41635000	chr7-41630000	Noness	1st	0.3898
chr7	9135000	9140000	chr7-9135000	Noness	1st	0.3576
chr7	46470000	46475000	chr7-46470000	Noness	1st	0.3764
chr7	48870000	48875000	chr7-48870000	Noness	1st	0.4066
chr7	48875000	48880000	chr7-48875000	Noness	1st	0.4282
chr7	49200000	49205000	chr7-49200000	Noness	1st	0.3594
chr7	49225000	49230000	chr7-49225000	Noness	1st	0.3564
chr7	49300000	49305000	chr7-49300000	Noness	1st	0.4002
chr7	49320000	49325000	chr7-49320000	Noness	1st	0.3976
chr7	49570000	49575000	chr7-49570000	Noness	1st	0.3356
chr7	52620000	52625000	chr7-52620000	Noness	1st	0.3662
chr7	9200000	9205000	chr7-9200000	Noness	1st	0.348
chr7	52995000	53000000	chr7-52995000	Noness	1st	0.3814
chr7	53060000	53065000	chr7-53060000	Noness	1st	0.3734
chr7	53260000	53265000	chr7-53260000	Noness	1st	0.3346
chr7	53325000	53330000	chr7-53325000	Noness	1st	0.3576
chr7	53375000	53380000	chr7-53375000	Noness	1st	0.3736
chr7	53450000	53455000	chr7-53450000	Noness	1st	0.435
chr7	53580000	53585000	chr7-53580000	Noness	1st	0.38
chr7	53650000	53655000	chr7-53650000	Noness	1st	0.3594
chr7	53675000	53680000	chr7-53675000	Noness	1st	0.3538
chr7	53915000	53920000	chr7-53915000	Noness	1st	0.313
chr7	9245000	9250000	chr7-9245000	Noness	1st	0.3398
chr7	53995000	54000000	chr7-53995000	Noness	1st	0.335
chr7	55775000	55780000	chr7-55775000	Noness	1st	0.4128
chr7	55825000	55830000	chr7-55825000	Noness	1st	0.4752
chr7	56375000	56380000	chr7-56375000	Noness	1st	0.3942
chr7	56470000	56475000	chr7-56470000	Noness	1st	0.4286
chr7	57220000	57225000	chr7-57220000	Noness	1st	0.3448
chr7	57635000	57640000	chr7-57635000	Noness	1st	0.4382
chr7	57645000	57650000	chr7-57645000	Noness	1st	0.3974
chr7	9355000	9360000	chr7-9355000	Noness	1st	0.3372
chr7	57725000	57730000	chr7-57725000	Noness	1st	0.4198
chr7	57790000	57795000	chr7-57790000	Noness	1st	0.3408
chr7	57845000	57850000	chr7-57845000	Noness	1st	0.4444
chr7	57855000	57860000	chr7-57855000	Noness	1st	0.4028
chr7	57945000	57950000	chr7-57945000	Noness	1st	0.3708
chr7	61055000	61060000	chr7-61055000	Noness	1st	0.3696
chr7	61070000	61075000	chr7-61070000	Noness	1st	0.3414
chr7	61555000	61560000	chr7-61555000	Noness	1st	0.357
chr7	61865000	61870000	chr7-61865000	Noness	1st	0.365
chr7	61875000	61880000	chr7-61875000	Noness	1st	0.3716
chr7	61885000	61890000	chr7-61885000	Noness	1st	0.349
chr7	62020000	62025000	chr7-62020000	Noness	1st	0.3684
chr7	62100000	62105000	chr7-62100000	Noness	1st	0.3754
chr8	2745000	2750000	chr8-2745000	Noness	1st	0.4108
chr8	43490000	43495000	chr8-43490000	Noness	1st	0.3548
chr8	43505000	43510000	chr8-43505000	Noness	1st	0.3638
chr8	43525000	43530000	chr8-43525000	Noness	1st	0.3856
chr8	43560000	43565000	chr8-43560000	Noness	1st	0.3714
chr8	43575000	43580000	chr8-43575000	Noness	1st	0.3814
chr8	43595000	43600000	chr8-43595000	Noness	1st	0.3886
chr8	43710000	43715000	chr8-43710000	Noness	1st	0.371
chr8	43720000	43725000	chr8-43720000	Noness	1st	0.3804
chr8	43765000	43770000	chr8-43765000	Noness	1st	0.3652
chr8	5215000	5220000	chr8-5215000	Noness	1st	0.3712
chr8	46900000	46905000	chr8-46900000	Noness	1st	0.356
chr8	46955000	46960000	chr8-46955000	Noness	1st	0.3572
chr8	46970000	46975000	chr8-46970000	Noness	1st	0.3494
chr8	5670000	5675000	chr8-5670000	Noness	1st	0.3666
chr8	62660000	62665000	chr8-62660000	Noness	1st	0.3598
chr8	65940000	65945000	chr8-65940000	Noness	1st	0.3622
chr8	67230000	67235000	chr8-67230000	Noness	1st	0.4238
chr8	72305000	72310000	chr8-72305000	Noness	1st	0.3722
chr8	76790000	76795000	chr8-76790000	Noness	1st	0.3282
chr8	77840000	77845000	chr8-77840000	Noness	1st	0.3518
chr8	78340000	78345000	chr8-78340000	Noness	1st	0.3034
chr8	5815000	5820000	chr8-5815000	Noness	1st	0.4144
chr8	78485000	78490000	chr8-78485000	Noness	1st	0.3644
chr8	78870000	78875000	chr8-78870000	Noness	1st	0.3248
chr8	79980000	79985000	chr8-79980000	Noness	1st	0.3838
chr8	80080000	80085000	chr8-80080000	Noness	1st	0.3678
chr8	80115000	80120000	chr8-80115000	Noness	1st	0.356
chr8	82240000	82245000	chr8-82240000	Noness	1st	0.4128
chr8	83435000	83440000	chr8-83435000	Noness	1st	0.3272
chr8	83450000	83455000	chr8-83450000	Noness	1st	0.345
chr8	83530000	83535000	chr8-83530000	Noness	1st	0.323
chr8	83990000	83995000	chr8-83990000	Noness	1st	0.3242
chr8	5825000	5830000	chr8-5825000	Noness	1st	0.4342
chr8	88540000	88545000	chr8-88540000	Noness	1st	0.32
chr8	89900000	89905000	chr8-89900000	Noness	1st	0.3386
chr8	89965000	89970000	chr8-89965000	Noness	1st	0.3516
chr8	90225000	90230000	chr8-90225000	Noness	1st	0.3564
chr8	90270000	90275000	chr8-90270000	Noness	1st	0.3324
chr8	90330000	90335000	chr8-90330000	Noness	1st	0.3544
chr8	90335000	90340000	chr8-90335000	Noness	1st	0.3702
chr8	90545000	90550000	chr8-90545000	Noness	1st	0.4178
chr8	112325000	112330000	chr8-112325000	Noness	1st	0.3492
chr8	5835000	5840000	chr8-5835000	Noness	1st	0.3502
chr8	115800000	115805000	chr8-115800000	Noness	1st	0.3236
chr8	115910000	115915000	chr8-115910000	Noness	1st	0.3544
chr8	119870000	119875000	chr8-119870000	Noness	1st	0.3776
chr8	120165000	120170000	chr8-120165000	Noness	1st	0.3492
chr8	122115000	122120000	chr8-122115000	Noness	1st	0.3784
chr8	123070000	123075000	chr8-123070000	Noness	1st	0.3562
chr8	123325000	123330000	chr8-123325000	Noness	1st	0.3682
chr8	132450000	132455000	chr8-132450000	Noness	1st	0.3744
chr8	137510000	137515000	chr8-137510000	Noness	1st	0.337
chr8	138805000	138810000	chr8-138805000	Noness	1st	0.39
chr8	24585000	24590000	chr8-24585000	Noness	1st	0.3862
chr8	34400000	34405000	chr8-34400000	Noness	1st	0.3664
chr9	1235000	1240000	chr9-1235000	Noness	1st	0.4318
chr9	43505000	43510000	chr9-43505000	Noness	1st	0.3884
chr9	44125000	44130000	chr9-44125000	Noness	1st	0.4176
chr9	44135000	44140000	chr9-44135000	Noness	1st	0.3588
chr9	44160000	44165000	chr9-44160000	Noness	1st	0.4298
chr9	2450000	2455000	chr9-2450000	Noness	1st	0.3634
chr9	44165000	44170000	chr9-44165000	Noness	1st	0.4126
chr9	44170000	44175000	chr9-44170000	Noness	1st	0.42
chr9	44175000	44180000	chr9-44175000	Noness	1st	0.4366
chr9	44195000	44200000	chr9-44195000	Noness	1st	0.3984
chr9	44205000	44210000	chr9-44205000	Noness	1st	0.3922
chr9	44210000	44215000	chr9-44210000	Noness	1st	0.3752
chr9	44215000	44220000	chr9-44215000	Noness	1st	0.4034
chr9	44220000	44225000	chr9-44220000	Noness	1st	0.353
chr9	44225000	44230000	chr9-44225000	Noness	1st	0.4378
chr9	3050000	3055000	chr9-3050000	Noness	1st	0.3862
chr9	44230000	44235000	chr9-44230000	Noness	1st	0.4656
chr9	44235000	44240000	chr9-44235000	Noness	1st	0.4352
chr9	44800000	44805000	chr9-44800000	Noness	1st	0.4042
chr9	12140000	12145000	chr9-12140000	Noness	1st	0.314
chr9	66835000	66840000	chr9-66835000	Noness	1st	0.4864
chr9	68350000	68355000	chr9-68350000	Noness	1st	0.391
chr9	68380000	68385000	chr9-68380000	Noness	1st	0.4254
chr9	22495000	22500000	chr9-22495000	Noness	1st	0.3772
chr9	68500000	68505000	chr9-68500000	Noness	1st	0.4274
chr9	68995000	69000000	chr9-68995000	Noness	1st	0.4374
chr9	69805000	69810000	chr9-69805000	Noness	1st	0.3422
chr9	69810000	69815000	chr9-69810000	Noness	1st	0.3754
chr9	24485000	24490000	chr9-24485000	Noness	1st	0.3326
chr9	69815000	69820000	chr9-69815000	Noness	1st	0.4516
chr9	69820000	69825000	chr9-69820000	Noness	1st	0.4256
chr9	69825000	69830000	chr9-69825000	Noness	1st	0.3974
chr9	84110000	84115000	chr9-84110000	Noness	1st	0.42
chr9	33575000	33580000	chr9-33575000	Noness	1st	0.49
chrX	14985000	14990000	chrX-14985000	Noness	1st	0.3808
chrX	58535000	58540000	chrX-58535000	Noness	1st	0.4108
chrX	58560000	58565000	chrX-58560000	Noness	1st	0.3878
chrX	61845000	61850000	chrX-61845000	Noness	1st	0.367
chrX	62610000	62615000	chrX-62610000	Noness	1st	0.4358
chrX	63620000	63625000	chrX-63620000	Noness	1st	0.381
chrX	65780000	65785000	chrX-65780000	Noness	1st	0.3794
chrX	66430000	66435000	chrX-66430000	Noness	1st	0.357
chrX	66435000	66440000	chrX-66435000	Noness	1st	0.3722
chrX	79235000	79240000	chrX-79235000	Noness	1st	0.3708
chrX	80575000	80580000	chrX-80575000	Noness	1st	0.3432
chrX	81230000	81235000	chrX-81230000	Noness	1st	0.3578
chrX	86360000	86365000	chrX-86360000	Noness	1st	0.322
chrX	86425000	86430000	chrX-86425000	Noness	1st	0.3326
chrX	86435000	86440000	chrX-86435000	Noness	1st	0.3646
chrX	88860000	88865000	chrX-88860000	Noness	1st	0.3124
chrX	89910000	89915000	chrX-89910000	Noness	1st	0.3172
chrX	90860000	90865000	chrX-90860000	Noness	1st	0.3248
chrX	90970000	90975000	chrX-90970000	Noness	1st	0.3858
chrX	92175000	92180000	chrX-92175000	Noness	1st	0.3506
chrX	92230000	92235000	chrX-92230000	Noness	1st	0.372
chrX	94400000	94405000	chrX-94400000	Noness	1st	0.362
chrX	116050000	116055000	chrX-116050000	Noness	1st	0.3694
chrX	116690000	116695000	chrX-116690000	Noness	1st	0.4122
chrX	137085000	137090000	chrX-137085000	Noness	1st	0.3976
chrX	137610000	137615000	chrX-137610000	Noness	1st	0.3642
chrX	51905000	51910000	chrX-51905000	Noness	1st	0.395
chrX	140075000	140080000	chrX-140075000	Noness	1st	0.3938
chrX	140775000	140780000	chrX-140775000	Noness	1st	0.3776
chrX	143405000	143410000	chrX-143405000	Noness	1st	0.3764
chrX	146420000	146425000	chrX-146420000	Noness	1st	0.3624
chrX	147380000	147385000	chrX-147380000	Noness	1st	0.3862
chrX	56480000	56485000	chrX-56480000	Noness	1st	0.3822
